latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-9.84031,123.84048999999999,330.9,0.33,0.56,2019-11-17,548,N,nominal,1.0NRT,299.4,2.0,D
-9.6315,124.76111999999999,340.8,0.39,0.59,2019-11-17,548,N,nominal,1.0NRT,303.0,2.1,D
-9.66687,124.20251999999999,367.0,0.36,0.57,2019-11-17,548,N,high,1.0NRT,310.6,22.8,D
-9.66742,124.19951999999999,367.0,0.36,0.57,2019-11-17,548,N,high,1.0NRT,307.6,11.3,D
-9.649289999999999,124.20934,350.2,0.36,0.57,2019-11-17,548,N,nominal,1.0NRT,303.3,5.2,D
-9.621360000000001,124.21307,345.6,0.36,0.57,2019-11-17,548,N,nominal,1.0NRT,300.6,3.8,D
-9.62209,124.2146,332.1,0.36,0.57,2019-11-17,548,N,nominal,1.0NRT,299.3,3.2,D
-9.622580000000001,124.21185,337.2,0.36,0.57,2019-11-17,548,N,nominal,1.0NRT,300.3,2.9,D
-9.52052,124.71816000000001,336.0,0.39,0.59,2019-11-17,548,N,nominal,1.0NRT,304.3,3.5,D
-9.46176,124.91608000000001,340.3,0.4,0.6,2019-11-17,548,N,nominal,1.0NRT,300.6,3.2,D
-10.18374,120.62476000000001,352.1,0.41,0.45,2019-11-17,548,N,nominal,1.0NRT,311.8,10.5,D
-10.18437,120.62109,350.9,0.41,0.45,2019-11-17,548,N,nominal,1.0NRT,314.4,32.4,D
-9.52798,124.28143,334.7,0.36,0.58,2019-11-17,548,N,nominal,1.0NRT,303.7,2.5,D
-10.17963,120.62404,343.3,0.41,0.45,2019-11-17,548,N,low,1.0NRT,313.8,11.2,D
-10.18027,120.62033999999998,356.7,0.41,0.45,2019-11-17,548,N,nominal,1.0NRT,313.6,15.9,D
-9.5011,124.25967,332.9,0.36,0.58,2019-11-17,548,N,nominal,1.0NRT,302.6,3.0,D
-10.12951,120.55689,341.2,0.4,0.44,2019-11-17,548,N,nominal,1.0NRT,308.3,5.7,D
-9.433769999999999,124.41908000000001,330.3,0.37,0.58,2019-11-17,548,N,low,1.0NRT,303.5,2.1,D
-10.102789999999999,120.46625,334.8,0.4,0.44,2019-11-17,548,N,low,1.0NRT,307.7,3.3,D
-10.01492,120.39491000000001,338.5,0.4,0.44,2019-11-17,548,N,nominal,1.0NRT,306.5,2.3,D
-10.01085,120.39428999999998,336.6,0.4,0.44,2019-11-17,548,N,low,1.0NRT,308.4,6.2,D
-9.982000000000001,120.41613999999998,338.0,0.4,0.44,2019-11-17,548,N,nominal,1.0NRT,307.2,3.1,D
-9.890089999999999,120.46898,343.6,0.4,0.44,2019-11-17,548,N,nominal,1.0NRT,309.8,4.7,D
-9.89537,120.41333999999999,337.6,0.4,0.44,2019-11-17,548,N,low,1.0NRT,308.3,3.0,D
-9.10672,124.75044,339.9,0.4,0.6,2019-11-17,548,N,nominal,1.0NRT,297.2,3.8,D
-9.106689999999999,124.75333,339.1,0.4,0.6,2019-11-17,548,N,nominal,1.0NRT,296.7,3.3,D
-9.10735,124.74963000000001,338.4,0.4,0.6,2019-11-17,548,N,nominal,1.0NRT,297.2,3.3,D
-9.51483,119.86501000000001,340.9,0.56,0.43,2019-11-17,548,N,low,1.0NRT,313.6,6.6,D
-8.34189,124.44771999999999,332.3,0.39,0.59,2019-11-17,548,N,nominal,1.0NRT,290.7,1.7,D
-8.8594,120.88242,354.5,0.44,0.46,2019-11-17,548,N,nominal,1.0NRT,301.9,5.1,D
-8.86003,120.87868999999999,340.7,0.44,0.46,2019-11-17,548,N,nominal,1.0NRT,301.5,5.1,D
-8.85449,120.88541000000001,335.9,0.44,0.46,2019-11-17,548,N,nominal,1.0NRT,301.9,5.2,D
-8.85513,120.88165,343.0,0.44,0.46,2019-11-17,548,N,nominal,1.0NRT,302.3,9.4,D
-8.855780000000001,120.87783,350.8,0.44,0.46,2019-11-17,548,N,nominal,1.0NRT,301.8,9.4,D
-8.8502,120.88474,348.7,0.44,0.46,2019-11-17,548,N,nominal,1.0NRT,302.1,5.2,D
-7.8064100000000005,126.37336,343.2,0.53,0.67,2019-11-17,548,N,nominal,1.0NRT,301.4,5.5,D
-7.80704,126.36993000000001,331.2,0.53,0.67,2019-11-17,548,N,low,1.0NRT,302.7,5.5,D
-8.79466,120.03383999999998,346.6,0.39,0.44,2019-11-17,548,N,nominal,1.0NRT,301.7,7.3,D
-8.653880000000001,120.71728999999999,333.3,0.44,0.46,2019-11-17,548,N,nominal,1.0NRT,302.2,3.9,D
-8.7905,118.77011999999999,341.9,0.5,0.41,2019-11-17,548,N,nominal,1.0NRT,308.5,7.1,D
-8.79088,118.57987,347.3,0.49,0.4,2019-11-17,548,N,nominal,1.0NRT,309.3,18.6,D
-8.711969999999999,118.96517,342.2,0.51,0.41,2019-11-17,548,N,nominal,1.0NRT,307.8,11.1,D
-8.372860000000001,120.91637,338.3,0.45,0.47,2019-11-17,548,N,nominal,1.0NRT,306.3,4.2,D
-8.79875,118.39303999999998,338.2,0.48,0.4,2019-11-17,548,N,nominal,1.0NRT,306.2,7.6,D
-8.36853,120.91566,335.4,0.45,0.47,2019-11-17,548,N,nominal,1.0NRT,304.5,4.2,D
-8.69755,118.95805,342.9,0.51,0.41,2019-11-17,548,N,nominal,1.0NRT,307.4,8.9,D
-8.83647,118.09293000000001,331.7,0.46,0.39,2019-11-17,548,N,low,1.0NRT,303.9,4.2,D
-8.37198,120.91588,338.7,0.45,0.47,2019-11-17,548,N,nominal,1.0NRT,306.1,3.6,D
-8.779710000000001,118.40363,343.9,0.48,0.4,2019-11-17,548,N,nominal,1.0NRT,308.1,11.2,D
-8.36765,120.91519,336.3,0.45,0.47,2019-11-17,548,N,nominal,1.0NRT,304.8,3.6,D
-8.41151,120.65003,339.9,0.43,0.46,2019-11-17,548,N,nominal,1.0NRT,301.4,3.1,D
-8.73386,118.54803000000001,343.0,0.49,0.4,2019-11-17,548,N,nominal,1.0NRT,309.6,11.7,D
-8.727139999999999,118.54251000000001,342.3,0.49,0.4,2019-11-17,548,N,nominal,1.0NRT,307.8,13.3,D
-8.38486,120.6008,343.2,0.43,0.46,2019-11-17,548,N,nominal,1.0NRT,300.1,6.2,D
-8.718160000000001,118.52743999999998,344.4,0.49,0.4,2019-11-17,548,N,nominal,1.0NRT,304.9,7.0,D
-8.777989999999999,117.79111,338.3,0.45,0.39,2019-11-17,548,N,nominal,1.0NRT,307.9,10.0,D
-8.76753,117.89027,343.5,0.45,0.39,2019-11-17,548,N,nominal,1.0NRT,312.7,17.2,D
-8.75675,117.93546,341.5,0.45,0.39,2019-11-17,548,N,nominal,1.0NRT,307.9,6.8,D
-8.77937,117.79163,338.6,0.45,0.39,2019-11-17,548,N,nominal,1.0NRT,308.3,10.7,D
-8.606710000000001,118.80916,339.0,0.5,0.41,2019-11-17,548,N,nominal,1.0NRT,305.4,5.8,D
-8.62236,118.47367,343.3,0.48,0.4,2019-11-17,548,N,nominal,1.0NRT,303.2,8.7,D
-8.570139999999999,118.77243,337.6,0.5,0.41,2019-11-17,548,N,nominal,1.0NRT,306.7,8.6,D
-8.851939999999999,116.78667,339.6,0.41,0.37,2019-11-17,548,N,nominal,1.0NRT,304.5,6.7,D
-8.52255,118.73299999999999,337.3,0.5,0.41,2019-11-17,548,N,nominal,1.0NRT,305.9,4.9,D
-8.52241,118.73467,340.8,0.5,0.41,2019-11-17,548,N,nominal,1.0NRT,307.2,5.5,D
-8.48804,118.87705,341.4,0.51,0.41,2019-11-17,548,N,nominal,1.0NRT,309.3,6.1,D
-8.51401,118.71481000000001,338.5,0.5,0.41,2019-11-17,548,N,nominal,1.0NRT,305.3,4.8,D
-8.55989,118.37955,341.9,0.48,0.4,2019-11-17,548,N,nominal,1.0NRT,306.4,7.7,D
-8.630189999999999,117.66043,348.9,0.44,0.39,2019-11-17,548,N,nominal,1.0NRT,310.9,15.6,D
-8.6018,117.65573,340.5,0.44,0.39,2019-11-17,548,N,nominal,1.0NRT,307.4,9.8,D
-8.85288,116.00273,335.7,0.39,0.36,2019-11-17,548,N,nominal,1.0NRT,303.2,3.3,D
-8.454,118.41203,349.6,0.48,0.4,2019-11-17,548,N,nominal,1.0NRT,302.5,11.1,D
-8.39375,118.76566000000001,338.5,0.5,0.41,2019-11-17,548,N,low,1.0NRT,310.5,8.9,D
-8.58177,117.48861000000001,340.9,0.44,0.38,2019-11-17,548,N,nominal,1.0NRT,309.5,9.1,D
-8.35915,118.83613000000001,339.8,0.51,0.41,2019-11-17,548,N,low,1.0NRT,311.1,11.1,D
-8.34095,118.82848999999999,339.0,0.51,0.41,2019-11-17,548,N,low,1.0NRT,311.6,8.2,D
-8.76136,116.11606,335.4,0.39,0.37,2019-11-17,548,N,nominal,1.0NRT,303.5,1.8,D
-8.510580000000001,117.52635,342.1,0.44,0.38,2019-11-17,548,N,nominal,1.0NRT,311.6,9.9,D
-8.789439999999999,115.5882,336.9,0.39,0.36,2019-11-17,548,N,low,1.0NRT,309.9,2.7,D
-8.48663,117.45331999999999,342.3,0.44,0.38,2019-11-17,548,N,nominal,1.0NRT,312.1,7.8,D
-8.4831,117.4528,341.9,0.44,0.38,2019-11-17,548,N,nominal,1.0NRT,311.0,6.4,D
-8.4342,117.51013999999999,344.4,0.44,0.38,2019-11-17,548,N,nominal,1.0NRT,308.5,11.2,D
-8.32649,118.06613,344.4,0.47,0.39,2019-11-17,548,N,low,1.0NRT,315.4,15.9,D
-8.23552,117.93606000000001,340.5,0.46,0.39,2019-11-17,548,N,low,1.0NRT,314.5,8.9,D
-8.64596,115.15556000000001,334.7,0.38,0.36,2019-11-17,548,N,nominal,1.0NRT,303.9,3.2,D
-8.61205,115.13247,331.0,0.38,0.36,2019-11-17,548,N,low,1.0NRT,305.0,2.6,D
-8.20168,117.63458,341.0,0.45,0.39,2019-11-17,548,N,nominal,1.0NRT,307.7,5.6,D
-8.20364,117.62231000000001,335.8,0.45,0.39,2019-11-17,548,N,low,1.0NRT,308.1,7.4,D
-8.34577,116.67915,347.9,0.41,0.37,2019-11-17,548,N,nominal,1.0NRT,313.3,11.8,D
-8.178980000000001,117.63935,336.9,0.45,0.39,2019-11-17,548,N,low,1.0NRT,308.2,10.5,D
-8.109010000000001,118.04986000000001,338.2,0.47,0.4,2019-11-17,548,N,nominal,1.0NRT,306.9,7.7,D
-8.1133,117.88614,347.0,0.46,0.39,2019-11-17,548,N,nominal,1.0NRT,314.8,69.2,D
-8.60931,114.16106,341.4,0.39,0.36,2019-11-17,548,N,nominal,1.0NRT,306.8,1.6,D
-8.32672,115.38448999999999,330.2,0.39,0.36,2019-11-17,548,N,low,1.0NRT,302.6,3.1,D
-8.262410000000001,115.45291,345.6,0.39,0.36,2019-11-17,548,N,nominal,1.0NRT,304.2,5.0,D
-8.174660000000001,115.41033,346.2,0.39,0.36,2019-11-17,548,N,nominal,1.0NRT,308.0,3.8,D
-8.3574,113.79122,332.1,0.39,0.36,2019-11-17,548,N,low,1.0NRT,304.0,2.8,D
-8.25672,113.03378000000001,331.9,0.41,0.37,2019-11-17,548,N,nominal,1.0NRT,299.8,3.6,D
-7.99793,114.27758,334.1,0.39,0.36,2019-11-17,548,N,nominal,1.0NRT,308.7,3.0,D
-8.0114,114.16528000000001,342.7,0.39,0.36,2019-11-17,548,N,nominal,1.0NRT,315.7,12.1,D
-8.15489,112.96733,331.4,0.41,0.37,2019-11-17,548,N,nominal,1.0NRT,296.2,2.6,D
-7.96127,114.13628,331.0,0.39,0.36,2019-11-17,548,N,nominal,1.0NRT,301.6,2.1,D
-8.11287,112.9246,346.2,0.41,0.37,2019-11-17,548,N,nominal,1.0NRT,304.8,7.4,D
-7.9306399999999995,113.68728999999999,344.6,0.39,0.36,2019-11-17,548,N,nominal,1.0NRT,300.3,9.4,D
-7.9273,113.68666999999999,347.7,0.39,0.36,2019-11-17,548,N,nominal,1.0NRT,304.9,9.4,D
-7.76558,113.95435,336.2,0.39,0.36,2019-11-17,548,N,low,1.0NRT,311.0,4.2,D
-7.76445,113.8125,336.6,0.39,0.36,2019-11-17,548,N,low,1.0NRT,310.3,2.3,D
-7.70878,113.81863,336.4,0.39,0.36,2019-11-17,548,N,low,1.0NRT,309.1,2.5,D
-7.705439999999999,113.81808000000001,334.7,0.39,0.36,2019-11-17,548,N,low,1.0NRT,308.0,2.5,D
-7.70597,113.81452,331.9,0.39,0.36,2019-11-17,548,N,low,1.0NRT,303.4,2.5,D
-7.71593,111.32571000000002,334.0,0.47,0.4,2019-11-17,548,N,low,1.0NRT,300.8,4.1,D
-7.45396,112.30431000000002,330.1,0.43,0.38,2019-11-17,548,N,low,1.0NRT,304.0,1.8,D
-7.14703,113.12118999999998,333.3,0.4,0.37,2019-11-17,548,N,low,1.0NRT,306.6,2.5,D
-7.704839999999999,108.99465,338.2,0.43,0.46,2019-11-17,548,N,nominal,1.0NRT,301.5,4.5,D
-7.70061,108.99406,345.9,0.43,0.46,2019-11-17,548,N,nominal,1.0NRT,299.9,7.3,D
-5.93253,120.47701,342.2,0.46,0.47,2019-11-17,548,N,nominal,1.0NRT,303.0,10.1,D
-5.42437,122.86253,332.3,0.34,0.56,2019-11-17,548,N,nominal,1.0NRT,296.6,5.4,D
-5.42491,122.8593,339.0,0.34,0.56,2019-11-17,548,N,nominal,1.0NRT,297.3,3.4,D
-7.059080000000001,112.51584,337.1,0.42,0.37,2019-11-17,548,N,nominal,1.0NRT,304.9,3.1,D
-5.41919,122.86163,332.4,0.34,0.56,2019-11-17,548,N,nominal,1.0NRT,295.6,5.4,D
-5.41973,122.85845,339.5,0.34,0.56,2019-11-17,548,N,nominal,1.0NRT,295.5,3.4,D
-5.3725,122.5292,349.1,0.32,0.55,2019-11-17,548,N,nominal,1.0NRT,296.9,3.4,D
-5.21741,122.3528,340.1,0.63,0.54,2019-11-17,548,N,nominal,1.0NRT,297.4,7.9,D
-5.06958,122.83326000000001,367.0,0.34,0.56,2019-11-17,548,N,high,1.0NRT,298.9,7.6,D
-5.0690800000000005,122.8362,341.8,0.34,0.56,2019-11-17,548,N,nominal,1.0NRT,298.6,7.6,D
-5.13961,122.39005,336.4,0.32,0.55,2019-11-17,548,N,nominal,1.0NRT,294.8,4.6,D
-5.14009,122.38715,347.8,0.32,0.55,2019-11-17,548,N,nominal,1.0NRT,295.4,3.5,D
-5.0423,122.80523000000001,367.0,0.34,0.56,2019-11-17,548,N,high,1.0NRT,306.4,41.4,D
-5.04281,122.80225,341.6,0.34,0.56,2019-11-17,548,N,nominal,1.0NRT,297.4,41.4,D
-5.04219,122.80583,367.0,0.34,0.56,2019-11-17,548,N,high,1.0NRT,300.2,49.4,D
-5.042680000000001,122.8028,300.3,0.34,0.56,2019-11-17,548,N,low,1.0NRT,302.5,41.5,D
